,tickers
920,MACPOWER.csv
921,HITECHCORP.csv
922,INDIACEM.csv
923,APCOTEXIND.csv
924,PEARLPOLY.csv
925,ASAL.csv
926,HINDOILEXP.csv
927,RUBYMILLS.csv
928,HAL.csv
929,CUPID.csv
930,SETFNN50.csv
931,CRISIL.csv
932,MADHAV.csv
933,GLENMARK.csv
934,INDSWFTLTD.csv
935,MAHESHWARI.csv
936,BBTC.csv
937,EMMBI.csv
938,HINDUNILVR.csv
939,KEYFINSERV.csv
940,PODDARHOUS.csv
941,RAJTV.csv
942,WELCORP.csv
943,ONGC.csv
944,VLSFINANCE.csv
945,AXISNIFTY.csv
946,PKTEA.csv
947,ICICINXT50.csv
948,VADILALIND.csv
949,IMAGICAA.csv
950,TVSSRICHAK.csv
951,ISMTLTD.csv
952,RSYSTEMS.csv
953,FCSSOFT.csv
954,SETFGOLD.csv
955,DREDGECORP.csv
956,SPIC.csv
957,AHLUCONT.csv
958,HIMATSEIDE.csv
959,SADBHAV.csv
960,LAKPRE.csv
961,TAJGVK.csv
962,NELCO.csv
963,RAMCOSYS.csv
964,IFBIND.csv
965,CAMS.csv
966,TFCILTD.csv
967,SPENTEX.csv
968,GNFC.csv
969,FILATEX.csv
970,FMGOETZE.csv
971,SBICARD.csv
972,IEX.csv
973,CHEMBOND.csv
974,TRENT.csv
975,ANIKINDS.csv
976,BIRLAMONEY.csv
977,HGINFRA.csv
978,HINDCOMPOS.csv
979,BHARATRAS.csv
980,CREDITACC.csv
981,VASCONEQ.csv
982,NDTV.csv
983,DENORA.csv
984,GEOJITFSL.csv
985,BCP.csv
986,JAYSREETEA.csv
987,ENERGYDEV.csv
988,LPDC.csv
989,ROML.csv
990,FRETAIL.csv
991,DHANUKA.csv
992,NAGAFERT.csv
993,ROUTE.csv
994,SANGHVIMOV.csv
995,5PAISA.csv
996,CHALET.csv
997,FINPIPE.csv
998,SANDHAR.csv
999,DICIND.csv
1000,SESHAPAPER.csv
1001,UTISENSETF.csv
1002,UTISXN50.csv
1003,RADIOCITY.csv
1004,TATACOFFEE.csv
1005,INDOSTAR.csv
1006,ABSLNN50ET.csv
1007,MGEL.csv
1008,SBIETFIT.csv
1009,STAMPEDE.csv
1010,AVTNPL.csv
1011,NAVINFLUOR.csv
1012,SABTN.csv
1013,GRSE.csv
1014,BHARATFORG.csv
1015,FORCEMOT.csv
1016,PGHH.csv
1017,AJANTPHARM.csv
1018,BLISSGVS.csv
1019,APOLLOTYRE.csv
1020,CENTENKA.csv
1021,LOTUSEYE.csv
1022,SUNPHARMA.csv
1023,IZMO.csv
1024,KAPSTON.csv
1025,HPL.csv
1026,GRAVITA.csv
1027,INTELLECT.csv
1028,MMFL.csv
1029,MOTOGENFIN.csv
1030,SAGCEM.csv
1031,BHARATWIRE.csv
1032,GMRINFRA.csv
1033,LINDEINDIA.csv
1034,PITTIENG.csv
1035,BANARISUG.csv
1036,ICICIBANKN.csv
1037,SUNDARMHLD.csv
1038,CENTEXT.csv
1039,GODREJPROP.csv
1040,KILITCH.csv
1041,HDFCLIFE.csv
1042,BRNL.csv
1043,RSSOFTWARE.csv
1044,AARON.csv
1045,KOTHARIPRO.csv
1046,NILASPACES.csv
1047,MTEDUCARE.csv
1048,ALKYLAMINE.csv
1049,WORTH.csv
1050,MANINFRA.csv
1051,ORIENTBELL.csv
1052,MSPL.csv
1053,SHARDACROP.csv
1054,STEELXIND.csv
1055,JAMNAAUTO.csv
1056,ARSHIYA.csv
1057,RECLTD.csv
1058,KMSUGAR.csv
1059,VAISHALI.csv
1060,CANBK.csv
1061,POWERMECH.csv
1062,KAMDHENU.csv
1063,MMTC.csv
1064,PFC.csv
1065,EQUITAS.csv
1066,ICICILIQ.csv
1067,KELLTONTEC.csv
1068,IITL.csv
1069,JSL.csv
1070,BALAMINES.csv
1071,BHAGYANGR.csv
1072,NCLIND.csv
1073,PALREDTEC.csv
1074,RELCAPITAL.csv
1075,VISAKAIND.csv
1076,APOLLOHOSP.csv
1077,WANBURY.csv
